Job_Title,Experience,Skills,Education,Language,Soft_Skills,Full_Description
Inventory Analyst,2+ years,"Social Media Marketing, SEO, Excel, Shopify, Order Management",Diploma in E-commerce or IT,Fluent English,Strong communication and time management skills,"Inventory Analyst with 2+ years experience required. Skills needed: Social Media Marketing, SEO, Excel, Shopify, Order Management. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Strong communication and time management skills."
Logistics Coordinator,3+ years,"Order Management, Copywriting, CRM Tools",High School diploma,Fluent English,Attention to detail and teamwork,"Logistics Coordinator with 3+ years experience required. Skills needed: Order Management, Copywriting, CRM Tools. Education: High School diploma. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Content Writer (E-commerce),1+ years,"Shopify, Product Description Writing, Copywriting",High School diploma,Multilingual preferred,Attention to detail and teamwork,"Content Writer (E-commerce) with 1+ years experience required. Skills needed: Shopify, Product Description Writing, Copywriting. Education: High School diploma. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Email Campaign Assistant,2+ years,"Product Description Writing, CRM Tools, Copywriting, Return Handling, Zapier, Amazon Seller Central",High School diploma,Fluent English,Strong communication and time management skills,"Email Campaign Assistant with 2+ years experience required. Skills needed: Product Description Writing, CRM Tools, Copywriting, Return Handling, Zapier, Amazon Seller Central. Education: High School diploma. Language: Fluent English. Soft skills: Strong communication and time management skills."
Digital Marketing Assistant,2+ years,"Social Media Marketing, Order Management, Excel, Amazon Seller Central, Copywriting, Return Handling",Diploma in E-commerce or IT,Fluent English,Attention to detail and teamwork,"Digital Marketing Assistant with 2+ years experience required. Skills needed: Social Media Marketing, Order Management, Excel, Amazon Seller Central, Copywriting, Return Handling. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Inventory Analyst,1+ years,"SEO, CRM Tools, Zapier",High School diploma,Multilingual preferred,Problem-solving and customer-first mindset,"Inventory Analyst with 1+ years experience required. Skills needed: SEO, CRM Tools, Zapier. Education: High School diploma. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Product Listing Manager,1+ years,"Excel, Google Ads, Zapier, Product Description Writing, Customer Service, Return Handling",Diploma in E-commerce or IT,Good written English,Attention to detail and teamwork,"Product Listing Manager with 1+ years experience required. Skills needed: Excel, Google Ads, Zapier, Product Description Writing, Customer Service, Return Handling. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Attention to detail and teamwork."
Inventory Analyst,3+ years,"Google Ads, Order Management, Excel, Inventory Management, Amazon Seller Central, Return Handling",High School diploma,Fluent English,Attention to detail and teamwork,"Inventory Analyst with 3+ years experience required. Skills needed: Google Ads, Order Management, Excel, Inventory Management, Amazon Seller Central, Return Handling. Education: High School diploma. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Marketplace Account Executive,No experience but strong motivation,"CRM Tools, Return Handling, Social Media Marketing, Customer Service, Copywriting","Bachelor's degree in Business, Marketing or related",Good written English,Strong communication and time management skills,"Marketplace Account Executive with No experience but strong motivation experience required. Skills needed: CRM Tools, Return Handling, Social Media Marketing, Customer Service, Copywriting. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Strong communication and time management skills."
Inventory Analyst,2+ years,"SEO, CRM Tools, Google Ads, Copywriting","Bachelor's degree in Business, Marketing or related",Fluent English,Strong communication and time management skills,"Inventory Analyst with 2+ years experience required. Skills needed: SEO, CRM Tools, Google Ads, Copywriting. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Strong communication and time management skills."
Logistics Coordinator,3+ years,"Amazon Seller Central, Shopify, Copywriting, Google Ads",High School diploma,Fluent English,Problem-solving and customer-first mindset,"Logistics Coordinator with 3+ years experience required. Skills needed: Amazon Seller Central, Shopify, Copywriting, Google Ads. Education: High School diploma. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Content Writer (E-commerce),1+ years,"Shopify, Social Media Marketing, Google Ads, Zapier",High School diploma,Good written English,Problem-solving and customer-first mindset,"Content Writer (E-commerce) with 1+ years experience required. Skills needed: Shopify, Social Media Marketing, Google Ads, Zapier. Education: High School diploma. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Product Listing Manager,2+ years,"SEO, Excel, Product Description Writing",High School diploma,Fluent English,Problem-solving and customer-first mindset,"Product Listing Manager with 2+ years experience required. Skills needed: SEO, Excel, Product Description Writing. Education: High School diploma. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Digital Marketing Assistant,No experience but strong motivation,"Customer Service, SEO, Excel, Zapier, Return Handling","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Problem-solving and customer-first mindset,"Digital Marketing Assistant with No experience but strong motivation experience required. Skills needed: Customer Service, SEO, Excel, Zapier, Return Handling. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Content Writer (E-commerce),3+ years,"SEO, CRM Tools, Product Description Writing, Inventory Management, Copywriting, Amazon Seller Central",Diploma in E-commerce or IT,Fluent English,Attention to detail and teamwork,"Content Writer (E-commerce) with 3+ years experience required. Skills needed: SEO, CRM Tools, Product Description Writing, Inventory Management, Copywriting, Amazon Seller Central. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Content Writer (E-commerce),No experience but strong motivation,"Excel, Customer Service, Order Management, Google Ads, Inventory Management, Copywriting",Diploma in E-commerce or IT,Fluent English,Problem-solving and customer-first mindset,"Content Writer (E-commerce) with No experience but strong motivation experience required. Skills needed: Excel, Customer Service, Order Management, Google Ads, Inventory Management, Copywriting. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
E-commerce Customer Service Specialist,1+ years,"Product Description Writing, Amazon Seller Central, Social Media Marketing, CRM Tools, Shopify",High School diploma,Fluent English,Strong communication and time management skills,"E-commerce Customer Service Specialist with 1+ years experience required. Skills needed: Product Description Writing, Amazon Seller Central, Social Media Marketing, CRM Tools, Shopify. Education: High School diploma. Language: Fluent English. Soft skills: Strong communication and time management skills."
Product Listing Manager,No experience but strong motivation,"Social Media Marketing, Product Description Writing, Excel, Inventory Management",Diploma in E-commerce or IT,Multilingual preferred,Attention to detail and teamwork,"Product Listing Manager with No experience but strong motivation experience required. Skills needed: Social Media Marketing, Product Description Writing, Excel, Inventory Management. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Digital Marketing Assistant,No experience but strong motivation,"Inventory Management, Customer Service, Amazon Seller Central, Excel, Google Ads","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Strong communication and time management skills,"Digital Marketing Assistant with No experience but strong motivation experience required. Skills needed: Inventory Management, Customer Service, Amazon Seller Central, Excel, Google Ads. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Product Listing Manager,2+ years,"Order Management, Return Handling, Shopify, Product Description Writing",High School diploma,Good written English,Problem-solving and customer-first mindset,"Product Listing Manager with 2+ years experience required. Skills needed: Order Management, Return Handling, Shopify, Product Description Writing. Education: High School diploma. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Logistics Coordinator,2+ years,"Order Management, Shopify, Google Ads",High School diploma,Multilingual preferred,Problem-solving and customer-first mindset,"Logistics Coordinator with 2+ years experience required. Skills needed: Order Management, Shopify, Google Ads. Education: High School diploma. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Order Fulfillment Associate,1+ years,"Shopify, Copywriting, Product Description Writing, Return Handling, Amazon Seller Central, Customer Service",Diploma in E-commerce or IT,Good written English,Problem-solving and customer-first mindset,"Order Fulfillment Associate with 1+ years experience required. Skills needed: Shopify, Copywriting, Product Description Writing, Return Handling, Amazon Seller Central, Customer Service. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Digital Marketing Assistant,2+ years,"Inventory Management, SEO, Amazon Seller Central, Social Media Marketing",Diploma in E-commerce or IT,Good written English,Problem-solving and customer-first mindset,"Digital Marketing Assistant with 2+ years experience required. Skills needed: Inventory Management, SEO, Amazon Seller Central, Social Media Marketing. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Digital Marketing Assistant,No experience but strong motivation,"Zapier, Copywriting, CRM Tools",High School diploma,Fluent English,Strong communication and time management skills,"Digital Marketing Assistant with No experience but strong motivation experience required. Skills needed: Zapier, Copywriting, CRM Tools. Education: High School diploma. Language: Fluent English. Soft skills: Strong communication and time management skills."
Digital Marketing Assistant,2+ years,"Social Media Marketing, Product Description Writing, Shopify, CRM Tools, Amazon Seller Central, Order Management","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"Digital Marketing Assistant with 2+ years experience required. Skills needed: Social Media Marketing, Product Description Writing, Shopify, CRM Tools, Amazon Seller Central, Order Management. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
