Question,Answer
Are your desserts homemade?,"Yes, all our desserts are made in-house daily."
What ingredients are in the Caesar salad?,"The Caesar salad contains romaine lettuce, croutons, parmesan cheese, and Caesar dressing."
Can I order online?,"Yes, you can order through our website or mobile app."
Do you serve breakfast?,"Yes, breakfast is served from 7 AM to 11 AM."
Is your chicken organic?,"Yes, we use organic chicken in our dishes."
Can I make a reservation?,"Yes, reservations can be made online or by calling us."
What dishes are on the menu?,"Our menu includes pasta, burgers, salads, and desserts."
Do you have outdoor seating?,"Yes, we have a beautiful outdoor patio."
Do you offer catering services?,"Yes, we provide catering for events and parties."
Is Wi-Fi available?,"Yes, we offer free Wi-Fi for all guests."
What type of oil do you cook with?,We primarily use olive oil and sunflower oil.
Do you offer vegetarian options?,"Yes, we have a variety of vegetarian dishes available."
Are there gluten-free options?,"Yes, we have gluten-free pasta and desserts available."
What are your opening hours?,"We are open from 7 AM to 10 PM, Monday through Sunday."
What are today's specials?,Today's specials include grilled salmon and chicken Alfredo.
I want to book a table ?,Sure! How many people are you booking for?
hi,Hello! How can I assist you today?
hello,Hi there! How can I help you?
hey,Hey! How can I help you today?
how are you,"I'm doing great, thank you! How can I help?"
can you help,"Yes, I'm here to help! What do you need assistance with?"
What kind of drinks do you serve?,"We serve a variety of drinks, including soft drinks, juices, coffee, and alcoholic beverages."
How much is a burger?,Our burgers start at $9.99. You can check our menu for more details.
How do I order food online?,You can place an order directly through our website or app.
